course,lecturer,group,classroom
Negocjacje międzynarodowe,Inż. Katarzyna Zielińska,BIH.UW2.GQO.7951.ULE,F345
Historia gospodarcza,Prof. Zofia Kowalska,PBQ.CO9.RRX.4565.HAO,F229
Budowanie marki online,Dr hab. Andrzej Wójcik,RYX.BE0.FMU.1872.NND,C105
Zachowania konsumentów,Inż. Maria Wiśniewska,WBC.DH0.CXH.7567.ATZ,C143
Fuzje i przejęcia,Prof. Marek Lewandowski,HKZ.GL3.BJB.4801.KBY,D255
Zaawansowana analiza makroekonomiczna,Dr hab. Andrzej Wójcik,NOY.KB2.GLS.8276.NTK,D160
Biznes międzynarodowy,Dr hab. Piotr Nowakowski,TZY.YT4.LMI.6309.TTF,D205
Przedsiębiorczość,Prof. Katarzyna Wójcik,QSE.BX6.RDZ.3792.YNU,H112
Metody ilościowe w biznesie,Dr. Marek Zieliński,CPU.AW1.GOQ.7175.XAG,A136
Sieci komputerowe,Mgr. Piotr Lewandowski,AID.WO9.PQJ.6573.EAV,F149
Wprowadzenie do mikroekonomii,Prof. Katarzyna Wójcik,EPJ.NN9.ETJ.0333.BAJ,F205
Rozwój organizacyjny,Mgr. Zofia Wiśniewska,HVB.OJ6.GZB.7025.KSG,C328
Sztuczna inteligencja w biznesie,Dr. Anna Zielińska,KLG.PZ1.DRJ.9976.BJH,F124
Systemy wynagrodzeń i benefitów,Mgr. Marek Wójcik,GUJ.XX5.AAH.6247.ETG,E354
Planowanie mediów,Mgr. Tomasz Kamiński,NDM.CD3.UAP.5426.RMJ,E348
Strategie w mediach społecznościowych,Mgr. Maria Dąbrowska,JVV.AT7.RTF.2808.JXU,E282
Analiza biznesowa,Dr. Zofia Lewandowska,PLH.LQ3.MTC.3521.PGO,C242
Python dla biznesu,Inż. Andrzej Nowak,OFP.WJ0.LRJ.9559.RJH,E186
Copywriting i kreatywne pisanie,Mgr. Piotr Dąbrowski,FGJ.AP7.YSO.3133.DTF,F106
Statystyka II,Dr hab. Ewa Dąbrowska,QKX.MM9.YVF.9122.IPU,E353
Zarządzanie portfelem,Dr hab. Marek Zieliński,DZE.CI4.XLZ.8254.SJU,E233
Inteligentna logistyka miejska,Dr. Piotr Dąbrowski,HPC.JR1.ZWN.0497.ITX,E286
Użycie oprogramowania statystycznego,Inż. Tomasz Kowalski,IDW.TJ8.EQN.2797.ORO,H134
Zachowania konsumentów,Dr. Andrzej Wiśniewski,ZFT.RD7.FTV.1813.RKV,D106
Zaawansowane umiejętności komunikacyjne,Dr hab. Zofia Szymanowska,YSH.CI5.YEG.5108.TOL,G389
Zarządzanie danymi klientów,Inż. Zofia Wójcik,EZE.KI2.VAU.3851.CQF,H211
Zarządzanie cyklem życia produktu,Mgr. Maria Kamińska,RPD.NI0.ROW.4727.MGK,E385
Modelowanie predykcyjne,Mgr. Piotr Dąbrowski,VQP.LJ5.WEO.1716.XWJ,F149
Doskonałość w obsłudze klienta,Dr. Marek Dąbrowski,RON.JD8.HHL.4129.SXR,D205
Zaawansowana strategia marketingowa,Mgr. Tomasz Dąbkowski,WAV.TE4.TDJ.2806.RFL,A129
Rachunkowość finansowa,Dr. Maria Zieliński,KCV.VP1.FTH.8857.TDY,B209
Ubezpieczenia,Dr hab. Andrzej Wójcik,IHD.KT1.POS.9964.MVT,H327
Sprawozdawczość korporacyjna,Dr hab. Katarzyna Kamiński,QMY.KY7.WGH.8609.ZNW,H327
Ekonomia nieruchomości,Mgr. Andrzej Kamiński,FRN.RT0.YRW.7844.INO,H186
Metodologia Six Sigma,Dr hab. Andrzej Lewandowski,YSH.CI5.YEG.5108.TOL,G210
Finanse łańcucha dostaw,Mgr. Piotr Dąbrowski,EDB.RH5.MAR.3310.IIM,A180
Metody ilościowe w biznesie,Prof. Andrzej Szymański,BKM.SW8.AXI.5980.EIA,D160
Zaawansowana analiza makroekonomiczna,Inż. Andrzej Kowalski,XLS.QK5.QSN.6714.RMY,G155
Międzynarodowe zarządzanie finansami,Mgr. Jan Wiśniewski,CQO.ZF5.MEI.7798.VHM,E325
Strategia wprowadzania nowego produktu,Dr hab. Maria Wójcik,ZAZ.HH8.VMQ.0774.KOW,C143
Zarządzanie projektami,Inż. Tomasz Kowalski,VQP.LJ5.WEO.1716.XWJ,A335
Zachowania konsumentów,Prof. Tomasz Dąbrowski,BNT.IW7.OSL.3405.NVE,F106
Systemy wynagrodzeń i benefitów,Dr. Andrzej Wiśniewski,SGT.TY6.GYI.6888.DBD,C320
Ekonomia monetarna,Mgr. Tomasz Polak,UZL.LB0.AQE.7323.UPI,E282
Rynki instrumentów pochodnych,Prof. Piotr Kowalski,MBT.WM1.VBU.1712.FPS,D265
Matematyka dla ekonomistów,Mgr. Maria Lewandowska,UZE.LD2.TEV.5749.FHG,F106
Systemy wynagrodzeń i benefitów,Dr hab. Anna Wiśniewska,SIL.DJ6.TIA.8325.HAB,A188
Teoria makroekonomiczna,Dr. Katarzyna Szyszka,UXG.UH4.KAL.6970.LCC,H251
Marketing usług,Mgr. Piotr Kamień,XVL.LU4.PEN.2514.ODK,F142
Wprowadzenie do makroekonomii,Dr. Anna Zielińska,SGT.TY6.GYI.6888.DBD,H186
Modelowanie predykcyjne,Inż. Marek Szymański,CYV.DC9.AFR.6362.CYX,E325
Aplikacje mobilne dla biznesu,Prof. Zofia Wójcik,KKC.JV9.IUT.2954.OAH,B394
Sztuczna inteligencja w biznesie,Mgr. Jan Wiśniewski,VQX.QB4.YFR.4773.SJP,C143
Przemysły kreatywne,Dr. Katarzyna Szymańska,GOP.OU5.DLB.8286.QFC,G104
Przetwarzanie w chmurze,Mgr. Jan Wiśniewski,FIF.IB6.SBJ.2478.ZYC,E385
Matematyka dla ekonomistów,Mgr. Zofia Kowalska,TJV.BQ7.GMX.2994.NOH,D106
Zielony łańcuch dostaw,Mgr. Andrzej Kamiński,GUJ.XX5.AAH.6247.ETG,B300
Procedury celne,Dr. Piotr Dąbrowski,LLO.ZY4.WVH.2797.XDC,B226
Analiza marketingowa,Mgr. Piotr Kamiński,TUT.BO9.PPN.5857.JDI,F106
Badania operacyjne,Dr. Andrzej Wiśniewski,DRX.IW7.NVT.3996.XWM,F124
Badania rynku,Mgr. Piotr Kamiński,YFY.AV8.HYC.2161.UAZ,F208
Zarządzanie detaliczne,Dr. Jan Zieliński,QKN.FU1.NVZ.7963.LGU,G287
Zarządzanie start-upami,Prof. Anna Nowak,SWG.KD4.MEK.9582.KWP,A188
Prawo gospodarcze,Mgr. Piotr Wójcik,BNT.IW7.OSL.3405.NVE,A396
Biznes międzynarodowy,Dr. Piotr Woźniak,TML.NS4.BCX.5709.BLF,H365
Zintegrowana komunikacja marketingowa,Prof. Anna Nowak,JQG.HO1.SYW.0202.VDD,F345
Polityka ekonomiczna,Inż. Zofia Dąbrowska,JVV.AT7.RTF.2808.JXU,E385
Kanały dystrybucji,Inż. Ewa Dąbrowska,DOO.AF7.PUQ.1948.HOL,A358
Systemy informacyjne zarządzania,Dr. Katarzyna Zielińska,JQG.HO1.SYW.0202.VDD,H235
Użycie oprogramowania statystycznego,Mgr. Jan Szymański,BNT.IW7.OSL.3405.NVE,A129
Analiza szeregów czasowych,Prof. Zofia Miodowska,JIC.UT3.KQX.0426.JOR,E381
Analiza marketingowa,Inż. Anna Kowalska,GDX.IX2.BAD.6731.ASO,A261
Prognozowanie sprzedaży,Dr. Jan Zieliński,FRA.FN4.QZU.8710.HOY,G210
Społeczna odpowiedzialność biznesu,Mgr. Piotr Szymański,FZR.NM3.HNC.2615.WZA,C379
Public Relations,Prof. Katarzyna Zielińska,XVM.TE8.QYI.1728.VAR,C332
Analiza sprawozdań finansowych,Mgr. Marek Wójcik,FRN.RT0.YRW.7844.INO,H369
Ekonomia nieruchomości,Dr hab. Piotr Szymański,SMM.SS1.QVW.1779.KHB,A188
Zastosowania uczenia maszynowego,Mgr. Piotr Dąbrowski,GCH.DV6.ERX.9640.DNJ,D352
Raportowanie zrównoważonego rozwoju,Mgr. Piotr Lewandowski,TPC.EZ6.MLQ.1489.NSW,G277
Optymalizacja aplikacji mobilnych,Prof. Piotr Kowalski,VLD.ZP1.WLX.5189.UUC,G155
Analiza szeregów czasowych,Mgr. Zofia Wiśniewska,PMP.CC8.WON.1917.TGB,F389
Przetwarzanie w chmurze,Inż. Piotr Szymański,FVH.RS5.VOJ.2504.IIT,B198
Planowanie finansowe,Inż. Katarzyna Wiśniewska,SQP.TV7.URO.4305.QVL,E318
Strategie rekrutacyjne,Mgr. Anna Zielińska,PLH.LQ3.MTC.3521.PGO,G311
Etyka w finansach,Dr hab. Piotr Nowakowski,VLD.ZP1.WLX.5189.UUC,B165
Rachunkowość finansowa,Mgr. Zofia Wiśniewska,KRE.WO3.CZH.9033.RII,E173
